unit,year,effect,pre_rmse,is_treated
河北,2010,0.00897215725516265,0.04922189693803677,False
河北,2011,0.029457599298603032,0.04922189693803677,False
河北,2012,-0.06051232191271483,0.04922189693803677,False
河北,2013,-0.04821337391890301,0.04922189693803677,False
河北,2014,0.049066522977903926,0.04922189693803677,False
河北,2015,-0.014212766353771222,0.04922189693803677,False
河北,2016,0.007820242282602585,0.04922189693803677,False
河北,2017,0.031647915039149765,0.04922189693803677,False
河北,2018,0.11835561371313519,0.04922189693803677,False
河北,2019,-0.025070558969753964,0.04922189693803677,False
河北,2020,-0.037514915501500656,0.04922189693803677,False
河北,2021,-0.049794543881804376,0.04922189693803677,False
河北,2022,-0.04923866181106096,0.04922189693803677,False
河北,2023,0.0857557951736947,0.04922189693803677,False
山西,2010,0.01392962738383563,0.025263325349137496,False
山西,2011,0.0025382652668644035,0.025263325349137496,False
山西,2012,-0.04405563611737762,0.025263325349137496,False
山西,2013,0.02335059674277007,0.025263325349137496,False
山西,2014,0.0009843796604354083,0.025263325349137496,False
山西,2015,0.010258630506496225,0.025263325349137496,False
山西,2016,-0.036836208584031915,0.025263325349137496,False
山西,2017,0.003249488100414144,0.025263325349137496,False
山西,2018,0.03627321688421814,0.025263325349137496,False
山西,2019,0.00824726942666354,0.025263325349137496,False
山西,2020,-0.038425607061192135,0.025263325349137496,False
山西,2021,-0.038370472987057536,0.025263325349137496,False
山西,2022,-0.10037565123248937,0.025263325349137496,False
山西,2023,0.05328478093279809,0.025263325349137496,False
内蒙古,2010,0.07101252402119762,0.04861658793081168,False
内蒙古,2011,-0.07401252402119862,0.04861658793081168,False
内蒙古,2012,0.005977022730368375,0.04861658793081168,False
内蒙古,2013,0.013799565968525496,0.04861658793081168,False
内蒙古,2014,-0.012083526602857386,0.04861658793081168,False
内蒙古,2015,-0.08387683056078421,0.04861658793081168,False
内蒙古,2016,-0.009083526602857273,0.04861658793081168,False
内蒙古,2017,-0.0063611755342858345,0.04861658793081168,False
内蒙古,2018,-0.027459296931106714,0.04861658793081168,False
内蒙古,2019,0.0525052017780645,0.04861658793081168,False
内蒙古,2020,-0.06661377642331834,0.04861658793081168,False
内蒙古,2021,0.04248015373566805,0.04861658793081168,False
内蒙古,2022,-0.003544894306728441,0.04861658793081168,False
内蒙古,2023,0.000688920550506289,0.04861658793081168,False
辽宁,2010,0.028388753672006217,0.05314910727543395,False
辽宁,2011,0.019569004956920377,0.05314910727543395,False
辽宁,2012,-0.019225584429328535,0.05314910727543395,False
辽宁,2013,0.031193602758670558,0.05314910727543395,False
辽宁,2014,0.030967577337810415,0.05314910727543395,False
辽宁,2015,0.054329753499341216,0.05314910727543395,False
辽宁,2016,-0.068657083479017,0.05314910727543395,False
辽宁,2017,-0.11612895162863524,0.05314910727543395,False
辽宁,2018,-0.017130059530379604,0.05314910727543395,False
辽宁,2019,0.07810865438523518,0.05314910727543395,False
辽宁,2020,-0.006060536040080944,0.05314910727543395,False
辽宁,2021,0.11801981341248968,0.05314910727543395,False
辽宁,2022,0.021626502775451417,0.05314910727543395,False
辽宁,2023,0.028149957669286962,0.05314910727543395,False
吉林,2010,-0.024888319625782085,0.045304649928287845,False
吉林,2011,0.008420858081669813,0.045304649928287845,False
吉林,2012,0.03455466383133343,0.045304649928287845,False
吉林,2013,0.04818001493643154,0.045304649928287845,False
吉林,2014,-0.09323198911760988,0.045304649928287845,False
吉林,2015,-0.009076094737483498,0.045304649928287845,False
吉林,2016,-0.007873465114227596,0.045304649928287845,False
吉林,2017,0.034361856845234406,0.045304649928287845,False
吉林,2018,0.08267190292192694,0.045304649928287845,False
吉林,2019,0.014702616661225854,0.045304649928287845,False
吉林,2020,0.03610855856008621,0.045304649928287845,False
吉林,2021,-0.012055100145326847,0.045304649928287845,False
吉林,2022,-0.009657136241503661,0.045304649928287845,False
吉林,2023,-0.096234653519359,0.045304649928287845,False
浙江,2010,-0.016889307474766913,0.05244568193974776,True
浙江,2011,-0.028384709623235693,0.05244568193974776,True
浙江,2012,-0.02860291365145118,0.05244568193974776,True
浙江,2013,-0.09245408004385469,0.05244568193974776,True
浙江,2014,0.00014119975815063412,0.05244568193974776,True
浙江,2015,0.008493806168148321,0.05244568193974776,True
浙江,2016,-0.06676598630042685,0.05244568193974776,True
浙江,2017,-0.00014314807872040092,0.05244568193974776,True
浙江,2018,-0.04318490846414713,0.05244568193974776,True
浙江,2019,0.02006463953236981,0.05244568193974776,True
浙江,2020,-0.11402549225783165,0.05244568193974776,True
浙江,2021,-0.11079941640765867,0.05244568193974776,True
浙江,2022,-0.05054665326218277,0.05244568193974776,True
浙江,2023,-0.15590942966667987,0.05244568193974776,True
